IDADE,FX_ID,SEXO,p1,p2,p3,p4,p4a,p5,p6,p7,p8,p9a,p9b,p9c,p10A1,p10AB2,p10AB3,p10AB4,p10A5,p10A6,p10A7,p10A8,p10AB9,p10AB10,p10A11,p10AB12,p10A13,p10AB14,p10A15,p10A16,p10AB17,p10AB18,p10AB19,p10AB20,p10AB21,p10A22,p10A23,p10A24,p10A25,p10A26,p10AB27,p10AB28,p11A1,p11A2,p11A3,p11B1,p11B2,p11B3,p12Aa,p12Ab,p12Ac,p13AB,p14ABa,p14ABb,p14ABc,p14ABd,p14ABe,p14ABf,p15ABa,p15ABb,p15ABc,p15ABd,p15ABe,p15ABf,p92ABa,p92ABb,p92ABc,p16ABa,p16ABb,p16ABc,p16ABd,p16ABe,p16ABf,p16ABg,p16ABh,p16ABi,p16ABj,p16ABk,p16ABl,p16ABm,p16ABn,p16ABo,p17ABa1,p17ABa2,p17ABa3,p17ABa4,p17ABa5,p17ABa6,p17ABb1,p17ABb2,p17ABb3,p17ABb4,p17ABb5,p17ABb6,p17ABb7,p18ABa,p18ABb,p19ABa,p19ABb,p20ABa,p20ABb,p21ABa,p21ABb,p22B,p23Ba,p23Bb,p23Bc,p24B,p25Ba,p25Bb,p25Bc,p26ABa,p26ABb,p26ABc,p26ABd,p26ABe,p27ABa,p27ABb,p27ABc,p27ABd,p27ABe,p28B,p29Ba,p29Bb,p29Bc,p30B,p31Ba,p31Bb,p31Bc,p32B,p33B,p34Ba1,p34Ba2,p34Bb1,p34Bb2,p35Ba,p35Bb,p36AB,p37AB,p38AB,p39AB,p40AB,p41AB,p41ABado,p41ABent,p41ABnat,p42AB,p43AB,p44AB,p45ABa,p45ABb,p45ABc,p46ABa,p46ABb,p46ABc,p47ABa,p47ABb,p47ABc,p48AB,p49ABa,p49ABb1,p49ABb2,p49ABb3,p49ABb4,p49ABb5,p49ABb6,p49ABb7,p49ABb8,p49ABb9,p49ABb10,p50AB,p51AB,p52Adia,p52Ames,p52Aano,p53A,p58Aa,p58Ab,p58Ac,p59A,p59Ab_mes,p59Ab_ano,p60AB,p61A,p62Aa,p62Ab,p62Ac,p63ABaa,p63ABab,p63ABba,p63ABbb,p64ABaa,p64ABab,p64ABba,p64ABbb,p65ABa,p65ABb,p66AB,p67Aa,p67Ab,p67Ac,p67A,p68Aa,p68Ab,p68Ac,p69Aa,p69Ab,p70A,p70Aa,p71A,p71Aa,p72A,p73A,p74Aa,p74Ab,p74Ac,p75AB,p77Ba,p77Bb,p78Ba,p78Bb,p79Ba,p79Bb,p80Ba,p80Bb,p81Ba,p81Bb,p76Ba,p76Bb,p82Ba,p82Bb,p83Ba,p83Bb,p83Bc,reli1,reli2,reli3,reli4,reli5,p84a,p85ano,p85mes,p86a,p86b,p86c,p86d,p87,p88,p89,p90,p91ABrendafa,p91ABrendaf,CIDADE,porte1,porte2,tipo,pesoF,sede,ponto,data,nature,quest1,quest2,pesq,entrev,Indica,Nquest
19.0,2.0,2.0,998.0,7.0,0.0,1.0,7.0,1.0,0.0,2.0,1.0,214.0,149.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,3.0,22.0,27.0,0.0,,,,24.0,0.0,0.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,11.0,2.0,5.0,2.0,4.0,1.0,4.0,1.0,4.0,2.0,3.0,4.0,4.0,1.0,3.0,4.0,4.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,5.0,1.0,1.0,0.0,5.0,98.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.0,2.0,99.0,0.0,0.0,1.0,1.0,10.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,997.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,2.0,0.0,0.0,0.0,1.0,0.0,7.0,7.0,999997.0,7.0,107.0,3.0,22.0,1.0,0.891171449065016,6.0,147.0,2106.0,3.0,2.0,855.0,736.0,70.0,2.0,850.0
36.0,4.0,1.0,1.0,7.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,165.0,0.0,0.0,5.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,5.0,4.0,28.0,27.0,18.0,,,,22.0,0.0,0.0,2.0,2.0,3.0,2.0,4.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,6.0,3.0,10.0,4.0,4.0,1.0,4.0,1.0,2.0,1.0,3.0,4.0,4.0,1.0,4.0,4.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,4.0,1.0,5.0,1.0,5.0,98.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,4.0,6.0,7.0,10.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,5.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,1.0,1.0,4.0,1.0,11.0,11.0,3.0,1.0,0.0,0.0,3.0,0.0,1.0,998.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,415.0,1.0,107.0,3.0,22.0,1.0,1.17817633033447,6.0,147.0,2106.0,3.0,4.0,856.0,736.0,39.0,1.0,851.0
59.0,5.0,2.0,3.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,199.0,72.0,0.0,5.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,5.0,3.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,5.0,22.0,27.0,18.0,,,,22.0,0.0,0.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,5.0,11.0,3.0,3.0,4.0,2.0,5.0,2.0,2.0,4.0,4.0,5.0,1.0,3.0,3.0,4.0,4.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,5.0,2.0,1.0,0.0,8.0,4.0,0.0,0.0,4.0,4.0,4.0,1.0,6.0,1.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,3.0,0.0,0.0,0.0,2.0,0.0,6.0,5.0,500.0,2.0,107.0,3.0,22.0,1.0,1.14617941318103,6.0,147.0,2106.0,3.0,6.0,857.0,736.0,49.0,1.0,852.0
62.0,6.0,1.0,1.0,3.0,1.0,2.0,0.0,4.0,0.0,0.0,2.0,34.0,70.0,0.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,5.0,5.0,27.0,18.0,0.0,,,,54.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,10.0,13.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,998.0,1.0,2.0,6.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,99.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,997.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,999997.0,7.0,107.0,3.0,22.0,1.0,1.16303238396763,6.0,147.0,2106.0,3.0,7.0,858.0,736.0,50.0,1.0,853.0
28.0,3.0,2.0,1.0,5.0,1.0,2.0,0.0,1.0,0.0,4.0,1.0,103.0,0.0,0.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,27.0,3.0,,,,8.0,0.0,0.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,2.0,11.0,12.0,4.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,5.0,1.0,4.0,4.0,4.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,,,,,,,,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,2.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,7.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,99.0,0.0,0.0,2.0,47.0,0.0,0.0,3.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,50.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,740.0,2.0,108.0,3.0,22.0,1.0,1.06908183680666,6.0,148.0,2106.0,3.0,1.0,859.0,716.0,33.0,2.0,854.0
23.0,2.0,1.0,1.0,7.0,0.0,2.0,0.0,1.0,0.0,3.0,2.0,137.0,31.0,70.0,5.0,1.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,1.0,3.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,5.0,27.0,28.0,18.0,,,,54.0,0.0,0.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,3.0,3.0,1.0,10.0,12.0,13.0,1.0,2.0,1.0,4.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,4.0,4.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,,,,,,,,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,4.0,98.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,20.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,21.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,1.0,0.0,0.0,0.0,6.0,2.0,1.0,4.0,999997.0,7.0,108.0,3.0,22.0,1.0,0.985818710811582,6.0,148.0,2106.0,3.0,5.0,860.0,716.0,30.0,2.0,855.0
34.0,3.0,1.0,2.0,7.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,34.0,145.0,91.0,4.0,1.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,12.0,18.0,,,,8.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,12.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,4.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,,,,,,,,,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,6.0,2.0,0.0,0.0,2.0,4.0,7.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,44.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,15.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,21.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,1.0,0.0,0.0,0.0,3.0,0.0,7.0,4.0,1200.0,3.0,108.0,3.0,22.0,1.0,1.00455028619124,6.0,148.0,2106.0,3.0,6.0,861.0,716.0,35.0,2.0,856.0
69.0,6.0,2.0,2.0,998.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,997.0,0.0,0.0,5.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,18.0,3.0,0.0,,,,153.0,0.0,0.0,5.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,5.0,3.0,3.0,4.0,10.0,12.0,1.0,3.0,1.0,4.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,4.0,2.0,3.0,3.0,23.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,,,,,,,,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,3.0,98.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,0.0,2.0,44.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,997.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,1.0,0.0,0.0,0.0,10.0,2.0,5.0,2.0,700.0,2.0,108.0,3.0,22.0,1.0,1.27335049964252,6.0,148.0,2106.0,3.0,7.0,862.0,716.0,33.0,2.0,857.0
56.0,5.0,2.0,3.0,2.0,2.0,2.0,0.0,4.0,0.0,0.0,1.0,91.0,191.0,80.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,6.0,6.0,3.0,2.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,20.0,2.0,3.0,,,,73.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,5.0,12.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,4.0,4.0,1.0,4.0,4.0,4.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,,,,,,,,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,3.0,2.0,1.0,0.0,8.0,3.0,0.0,0.0,3.0,4.0,7.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,1.0,0.0,0.0,0.0,3.0,0.0,5.0,4.0,680.0,2.0,108.0,3.0,22.0,1.0,1.14617941318103,6.0,149.0,2106.0,3.0,2.0,863.0,716.0,21.0,2.0,858.0
30.0,3.0,2.0,2.0,9.0,0.0,2.0,0.0,1.0,0.0,4.0,1.0,116.0,145.0,102.0,5.0,7.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,17.0,18.0,0.0,,,,143.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,12.0,11.0,1.0,1.0,4.0,1.0,4.0,1.0,5.0,1.0,2.0,4.0,2.0,1.0,4.0,4.0,4.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,4.0,1.0,1.0,1.0,9.0,98.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,2.0,22.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,32.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,5.0,5000.0,5.0,108.0,3.0,22.0,1.0,1.06908183680666,6.0,149.0,2106.0,3.0,4.0,864.0,716.0,36.0,2.0,859.0
38.0,4.0,1.0,1.0,9.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,997.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,99.0,0.0,0.0,,,,0.0,0.0,0.0,3.0,3.0,3.0,3.0,2.0,3.0,5.0,1.0,2.0,1.0,3.0,1.0,6.0,1.0,8.0,12.0,5.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,9.0,2.0,1.0,0.0,1.0,6.0,7.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,2.0,20.0,44.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1000.0,3.0,108.0,3.0,22.0,1.0,1.17817633033447,6.0,149.0,2206.0,3.0,6.0,865.0,716.0,48.0,2.0,860.0
23.0,2.0,1.0,1.0,7.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,997.0,0.0,0.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,9.0,0.0,,,,2.0,0.0,0.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,4.0,2.0,3.0,3.0,1.0,8.0,12.0,11.0,5.0,2.0,4.0,5.0,2.0,4.0,1.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,,,,,,,,,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,4.0,2.0,1.0,1.0,2.0,98.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,3.0,0.0,1.0,2.0,10.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,1.0,0.0,0.0,0.0,6.0,3.0,5.0,6.0,750.0,2.0,108.0,3.0,22.0,1.0,0.985818710811582,6.0,149.0,2206.0,3.0,7.0,866.0,716.0,30.0,2.0,861.0
62.0,6.0,2.0,1.0,7.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,103.0,79.0,0.0,5.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,2.0,3.0,5.0,3.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,22.0,18.0,2.0,,,,23.0,0.0,0.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,1.0,3.0,3.0,3.0,1.0,12.0,5.0,11.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,998.0,2.0,2.0,1.0,4.0,3.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,,,,,,,,,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,6.0,2.0,0.0,0.0,2.0,3.0,7.0,1.0,1.0,1.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,2.0,20.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,50.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,999999.0,5.0,112.0,4.0,23.0,1.0,1.05292517098435,6.0,154.0,1406.0,3.0,6.0,867.0,716.0,39.0,2.0,862.0
