IDADE,FX_ID,SEXO,p1a,p1b,p1c,p1d,p2a,p2b,p2c,p2d,p2e,p2f,p2g,p2h,p2i,p2j,p2k,p2l,p2m,p2n,p2o,p2p,p2q,p2r,p2s,p2t,p2u,p2v,p2w,p2x,p2y,p2z,p2aa,p2bb,p2cc,p2dd,p2ee,p2ff,p2aaa,p2aab,p2aac,p2aad,p2aae,p3a,p3b,p3c,p3d,p4,p4a,p4b,p5,p5a,p5b,p6a,p6b,p6c,p6d,p6e,p6f,p6g,p6h,p6i,p6j,p6k,p6l,p6m,p6n,p6o,p6p,p6q,p6r,p6s,p6t,partido,p8a,p8b,p8c,pea,religiao,p11a,tvcor,carro,radio,empreg,aspira,maqlav,dvd,video,banhe,gelad,freezer,fone,escola,rendaf,p16a,p16b,p16c,pa1,pa2,pa3,pa4,pa5,pa6,pa7,pa8,pa9,pa10,pa11,pa12,pa13,pa14,pa15,pa16,pa17,pa18,pa19,pa20,pa21,pa22,pa23,pa24,pa25,pa26,pa27,pa28,pa29,pa30a,pa30b,pa31a,pa31b,pa32,pa33,pa34a,pa35a,pa36,pa37,pa38,pa39,regiao,metrop,meso,porte,pesoe,RENDA6,CBRASIL08X,nquest
32.0,2.0,1.0,2.0,,,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,1.0,5.0,3.0,4.0,,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,11.0,2.0,2.0,2.0,6.0,9.0,96.0,1.0,1.0,96.0,96.0,96.0,96.0,1.0,96.0,1.0,1.0,1.0,96.0,2.0,2.0,1.0,,,96.0,96.0,96.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,,,,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,0.9431229,1.0,5.0,674.0
19.0,1.0,2.0,99.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,4.0,4.0,2.0,,,1.0,,,99.0,99.0,1.0,99.0,1.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,1.0,99.0,99.0,99.0,99.0,99.0,99.0,12.0,2.0,2.0,2.0,2.0,6.0,96.0,1.0,96.0,1.0,96.0,96.0,96.0,96.0,96.0,1.0,1.0,96.0,96.0,4.0,1.0,1.0,,,96.0,96.0,96.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,,,,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,0.9431229,1.0,7.0,675.0
56.0,4.0,2.0,7.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,96.0,1.0,1.0,2.0,11.0,6.0,96.0,1.0,96.0,96.0,96.0,96.0,96.0,1.0,96.0,96.0,96.0,96.0,96.0,1.0,1.0,2.0,,,96.0,96.0,96.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,,,,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,0.9431229,1.0,8.0,676.0
25.0,2.0,2.0,41.0,67.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,4.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,99.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,99.0,1.0,96.0,2.0,2.0,2.0,11.0,9.0,96.0,1.0,96.0,96.0,96.0,96.0,96.0,1.0,96.0,1.0,1.0,96.0,96.0,1.0,1.0,2.0,,,96.0,96.0,96.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,,,,2.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,0.9431229,1.0,7.0,677.0
53.0,4.0,1.0,41.0,67.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,2.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,12.0,9.0,96.0,1.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,1.0,1.0,96.0,96.0,2.0,1.0,2.0,,,96.0,96.0,96.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,,,,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,0.9431229,1.0,7.0,678.0
17.0,1.0,2.0,19.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,5.0,4.0,2.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,96.0,2.0,1.0,2.0,2.0,9.0,96.0,1.0,96.0,1.0,96.0,96.0,96.0,1.0,96.0,2.0,1.0,96.0,96.0,4.0,1.0,1.0,,,96.0,96.0,96.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,,,,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,0.9431229,1.0,6.0,679.0
28.0,2.0,1.0,2.0,67.0,,,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,1.0,2.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,15.0,1.0,1.0,1.0,2.0,2.0,96.0,2.0,2.0,96.0,96.0,1.0,2.0,2.0,96.0,2.0,1.0,96.0,1.0,3.0,2.0,1.0,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,,,,,,97.0,,,,2.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,0.9431229,1.0,4.0,680.0
17.0,1.0,1.0,1.0,,,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,99.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,96.0,2.0,2.0,2.0,13.0,9.0,96.0,1.0,96.0,1.0,96.0,96.0,96.0,1.0,96.0,1.0,1.0,96.0,96.0,4.0,1.0,3.0,,,96.0,96.0,96.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,,,,2.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,0.9431229,1.0,6.0,681.0
43.0,3.0,2.0,99.0,,,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0,3.0,4.0,2.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,96.0,2.0,2.0,2.0,16.0,1.0,96.0,1.0,96.0,96.0,96.0,96.0,96.0,1.0,96.0,1.0,1.0,96.0,96.0,2.0,1.0,2.0,,,96.0,96.0,96.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,,,,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,0.9431229,1.0,7.0,682.0
31.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,99.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,4.0,4.0,2.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,99.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,96.0,2.0,2.0,2.0,11.0,1.0,96.0,1.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,1.0,1.0,96.0,96.0,4.0,1.0,2.0,,,96.0,96.0,96.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,,,,2.0,97.0,2.0,2.0,3.0,3.0,2.0,2.0,0.9431229,1.0,7.0,683.0
40.0,3.0,1.0,41.0,67.0,,,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,4.0,4.0,5.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,3.0,9.0,96.0,2.0,96.0,1.0,96.0,96.0,96.0,1.0,96.0,1.0,1.0,96.0,1.0,8.0,2.0,98.0,,,2.0,2.0,96.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,,,,2.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,0.9431229,1.0,5.0,684.0
24.0,1.0,2.0,98.0,,,,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,1.0,5.0,2.0,2.0,,,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,96.0,2.0,1.0,2.0,7.0,6.0,96.0,1.0,96.0,96.0,96.0,96.0,96.0,1.0,96.0,1.0,1.0,96.0,96.0,5.0,1.0,1.0,,,2.0,2.0,2.0,2.0,97.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,,,,2.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,0.9431229,1.0,7.0,685.0
35.0,3.0,1.0,1.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,,,1.0,,,1.0,1.0,1.0,1.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,1.0,99.0,99.0,99.0,2.0,99.0,1.0,2.0,2.0,2.0,10.0,1.0,96.0,2.0,96.0,1.0,96.0,96.0,1.0,2.0,96.0,1.0,1.0,96.0,96.0,3.0,1.0,2.0,,,96.0,96.0,96.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,,,,,,2.0,,,,2.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,0.9431229,1.0,6.0,686.0
23.0,1.0,1.0,67.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,5.0,1.0,1.0,5.0,1.0,,,1.0,,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,9.0,2.0,1.0,2.0,2.0,2.0,96.0,1.0,96.0,1.0,96.0,96.0,96.0,1.0,96.0,1.0,1.0,96.0,96.0,7.0,1.0,1.0,,,96.0,96.0,96.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,1.0,1.0,18.0,97.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,0.9431229,1.0,5.0,687.0
87.0,5.0,2.0,99.0,,,,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,2.0,2.0,2.0,1.0,1.0,2.0,99.0,3.0,99.0,2.0,2.0,99.0,1.0,2.0,99.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,5.0,3.0,2.0,,,1.0,,,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,96.0,1.0,1.0,2.0,12.0,6.0,96.0,1.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,1.0,96.0,96.0,1.0,1.0,2.0,,,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,,,,,,97.0,,,,97.0,97.0,97.0,97.0,3.0,3.0,1.0,2.0,0.9431229,1.0,8.0,688.0
76.0,5.0,1.0,67.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,99.0,99.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,99.0,99.0,99.0,99.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,99.0,3.0,3.0,1.0,5.0,2.0,,,1.0,,,99.0,1.0,1.0,1.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,1.0,1.0,99.0,99.0,99.0,99.0,99.0,96.0,1.0,1.0,1.0,12.0,6.0,96.0,1.0,96.0,1.0,96.0,96.0,96.0,96.0,96.0,1.0,1.0,96.0,96.0,1.0,1.0,2.0,,,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,,,,,,97.0,,,,97.0,97.0,97.0,97.0,3.0,3.0,1.0,2.0,0.9431229,1.0,7.0,689.0
41.0,3.0,2.0,60.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,5.0,5.0,2.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,96.0,1.0,2.0,2.0,14.0,6.0,96.0,1.0,96.0,96.0,96.0,96.0,96.0,1.0,96.0,96.0,1.0,96.0,96.0,5.0,1.0,2.0,,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,,,,2.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,0.9431229,1.0,7.0,690.0
18.0,1.0,1.0,39.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,2.0,,,1.0,,,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,4.0,2.0,1.0,1.0,96.0,96.0,2.0,96.0,3.0,1.0,1.0,1.0,5.0,6.0,1.0,,,2.0,96.0,96.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,,2.0,,,,97.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,0.9431229,3.0,3.0,691.0
50.0,4.0,1.0,99.0,,,,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,2.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,6.0,6.0,96.0,1.0,2.0,1.0,2.0,96.0,1.0,1.0,96.0,2.0,1.0,96.0,1.0,5.0,4.0,1.0,,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,98.0,,4.0,,2.0,,,,2.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,0.9431229,1.0,3.0,692.0
26.0,2.0,2.0,67.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,5.0,1.0,2.0,,,1.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,96.0,2.0,2.0,2.0,7.0,6.0,96.0,1.0,96.0,96.0,96.0,96.0,96.0,1.0,96.0,96.0,96.0,96.0,96.0,4.0,1.0,1.0,,,1.0,97.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,,,,2.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,0.9431229,1.0,8.0,693.0
25.0,2.0,1.0,99.0,,,,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,5.0,4.0,4.0,1.0,,,1.0,,,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,15.0,2.0,1.0,2.0,2.0,6.0,96.0,1.0,96.0,1.0,96.0,96.0,1.0,1.0,1.0,1.0,1.0,96.0,96.0,4.0,1.0,2.0,,,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,,,,2.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,0.9431229,1.0,6.0,694.0
20.0,1.0,2.0,99.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,5.0,4.0,1.0,5.0,2.0,,,1.0,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,99.0,1.0,1.0,1.0,1.0,1.0,1.0,99.0,99.0,99.0,99.0,99.0,96.0,2.0,99.0,99.0,7.0,6.0,96.0,1.0,96.0,1.0,96.0,96.0,96.0,1.0,96.0,1.0,1.0,96.0,1.0,5.0,1.0,99.0,,,96.0,96.0,96.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,,,,2.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,0.9431229,1.0,5.0,695.0
51.0,4.0,2.0,60.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,5.0,2.0,1.0,4.0,2.0,,,1.0,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,99.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,99.0,99.0,99.0,99.0,96.0,2.0,99.0,99.0,1.0,1.0,96.0,1.0,96.0,1.0,96.0,96.0,96.0,1.0,96.0,2.0,1.0,96.0,1.0,7.0,2.0,1.0,,,96.0,96.0,96.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,,,,2.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,0.9431229,1.0,6.0,696.0
50.0,4.0,2.0,1.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,4.0,4.0,2.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,99.0,99.0,99.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,96.0,2.0,2.0,1.0,11.0,1.0,96.0,2.0,96.0,2.0,96.0,96.0,96.0,1.0,96.0,1.0,1.0,96.0,1.0,5.0,1.0,98.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,,2.0,,,,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,0.9431229,1.0,6.0,697.0
